order_id;package_id;package_volume;delivery_location;from_warehouse;order_date;delivered_date;n_units;order_total_volume
EtPmaD3APj8aRNeSC3Yx7R;Z8722BWG8WfyrU3jeWsWGo;0,2732;Nice;Avignon;01/01/2021;04/01/2021 00:00;27;7,3764
4X4RBUwTXGBMVWdEj8Gti4;4oxrPXkner2kvXqvLQiCXF;0,2384;Issy-les-Moulineaux;Cergy;01/01/2021;03/01/2021 00:00;41;9,7744
GDhuTcBnr9xdRhFb2jLYcW;mnEb7xGXa9dFMLPAkrZZoh;1,4152;Toulouse;Montauban;01/01/2021;08/01/2021 00:00;35;49,532
3EZDvpzw5DdxXyJ66Py75J;3nwbxBUemtMG75cVPs7q7R;1,3451;Poitiers;Montauban;01/01/2021;09/01/2021 00:00;21;28,2471
Fpvw9NfnexSxjzLvyPWKbQ;mnEb7xGXa9dFMLPAkrZZoh;1,4152;Épinal;Reims;01/01/2021;09/01/2021 00:00;22;31,1344
fXag7Ey5MiFvz6rzpVNUaQ;aZY3fiBNXajyPoPcgxBmM4;0,002;Troyes;Reims;01/01/2021;06/01/2021 00:00;42;0,084
UeVqLAt9h6sfuB9AwC3iwD;aBCDNfWx5TAkxbTTmQJEE4;0,1138;Beauvais;Cergy;01/01/2021;04/01/2021 00:00;47;5,3486
DPb9ymoKRPaJUBLKtHhMnP;F7nPP7x29eJthgWvtQufGb;1,68;Drancy;Cergy;01/01/2021;13/01/2021 00:00;12;20,16
YWbNmJciG7RC6zKsgzM4aq;HwpqQKJKdGowCt9pgQKG7E;0,0053;Drancy;Cergy;01/01/2021;03/01/2021 00:00;12;0,0636
HtgDEAgWyRAat6hMyZ4T9e;oPLB2yoMM5AjYbkmSwsb32;0,0071;Caen;Cergy;01/01/2021;03/01/2021 00:00;8;0,0568
DquvoEVJFWnqfpT3whQ8iz;aZY3fiBNXajyPoPcgxBmM4;0,002;Quimper;Cergy;01/01/2021;03/01/2021 00:00;37;0,074
SHFqSTQStKf9pFjHpW4Vct;3CCHeWCD6EnM24iAxbCfCr;1,589;Strasbourg;Reims;01/01/2021;10/01/2021 00:00;33;52,437
ettq6aRVt38mJtnjJZCxp4;CwNUeLRRdqm5DhwCmr743i;0,2867;La Rochelle;Montauban;01/01/2021;05/01/2021 00:00;43;12,3281
iMrK7yDwqmRnvVBHYpBPoi;bfvaknKja6jMJYp56vtjgf;0,0072;Clichy;Cergy;01/01/2021;06/01/2021 00:00;46;0,3312
XrmsYk7nXdKGdpmi4VrpMc;FNB2bjUdGBUEitpecFRAaL;2,0644;Dijon;Reims;01/01/2021;12/01/2021 00:00;19;39,2236
aLrFh5knronATVWgEWy6rf;Ho42bGxZ8G2Lj8ngoYwHk3;0,006;Levallois-Perret;Cergy;01/01/2021;09/01/2021 00:00;40;0,24
BZsYUHDe4eVj7HaeM8MBt7;bfvaknKja6jMJYp56vtjgf;0,0072;Troyes;Reims;01/01/2021;02/01/2021 00:00;47;0,3384
RNgaKXh8BN9zaVfknRAm2Y;oPLB2yoMM5AjYbkmSwsb32;0,0071;Versailles;Cergy;01/01/2021;03/01/2021 00:00;45;0,3195
FaqH6N2zWCeykLh5f9VPWG;iofz8TRLznhCe8MvMf6TDn;0,3444;Aubervilliers;Cergy;01/01/2021;02/01/2021 00:00;18;6,1992
T5fTCxXquiqwzqvNfGRGgW;2qRALPgMv7KhK4bXqtsNLi;0,0372;Tourcoing;Reims;01/01/2021;04/01/2021 00:00;44;1,6368
SUWPw5uKB2XTmJkbhRqV4q;Zvus8XQuxNr4GjWYptXEs5;0,002;Meaux;Cergy;01/01/2021;03/01/2021 00:00;13;0,026
Y6fLuEne6Ym3uRBVpSDLjf;3CCHeWCD6EnM24iAxbCfCr;1,589;Metz;Reims;01/01/2021;12/01/2021 00:00;41;65,149
ZFaifUzKiLT9ojV3mb2q2A;Ho42bGxZ8G2Lj8ngoYwHk3;0,006;Calais;Cergy;01/01/2021;06/01/2021 00:00;43;0,258
CxsjqjtWXjpWLNQRf2yxfU;KmBprCffsWobByaWonfSXN;0,0485;Montélimar;Avignon;01/01/2021;03/01/2021 00:00;16;0,776
7GqhaPU2wnAA4t2yUy9fCq;6H7ukEuzfShov54gB3sN6V;0,002;Le Mans;Cergy;01/01/2021;03/01/2021 00:00;7;0,014
esiLoNh4umJHjzjD7tm7rU;3nwbxBUemtMG75cVPs7q7R;1,3451;Toulouse;Montauban;01/01/2021;09/01/2021 00:00;21;28,2471
YNZmf9oHRh2sNWTftP6bwv;kAh6oD4y4X3RK3zc5BQeo8;0,002;Montpellier;Avignon;01/01/2021;04/01/2021 00:00;10;0,02
3biLubmJFgduWgSUgrojzv;4A8XqQW57uG82xfZ7sjp5F;0,1148;Caen;Cergy;01/01/2021;05/01/2021 00:00;42;4,8216
84yXuzGHV9LXDTjbQDB5Ls;khHNUxYZUEEiRkaVe2FyXg;2,0028;Montélimar;Avignon;01/01/2021;11/01/2021 00:00;10;20,028
NdwGHuH2mTJgHuh4JjTy7N;KcEQgPTWKrvayEJwmxoquz;0,2433;Toulon;Avignon;01/01/2021;05/01/2021 00:00;23;5,5959
XHfAWaLxTFbo5UQwtd7CMz;kAh6oD4y4X3RK3zc5BQeo8;0,002;Saint-Nazaire;Cergy;01/01/2021;02/01/2021 00:00;43;0,086
X7Fw4fpZWfyafimV2uwTPe;oPLB2yoMM5AjYbkmSwsb32;0,0071;Boulogne-sur-Mer;Cergy;01/01/2021;03/01/2021 00:00;37;0,2627
FqyWudyaSf7NFAvev5ByiY;KcEQgPTWKrvayEJwmxoquz;0,2433;Tourcoing;Reims;01/01/2021;05/01/2021 00:00;13;3,1629
9Rks79F3sEDF7THxicmNv2;DcJVvos8XBfEHvpZxCXNAm;0,4343;Le Blanc-Mesnil;Cergy;01/01/2021;06/01/2021 00:00;19;8,2517
DNsf9Yfdb226zkZgF9Uu6B;2qRALPgMv7KhK4bXqtsNLi;0,0372;Perpignan;Montauban;01/01/2021;04/01/2021 00:00;47;1,7484
dim6fxGFE2dZAyKAgUddhy;jjnvac3HYvsrBQp9jxf5qj;1,0615;Pau;Montauban;01/01/2021;07/01/2021 00:00;22;23,353
VMw373xF9GvKFgEwA6gbQV;3CCHeWCD6EnM24iAxbCfCr;1,589;Bourges;Clermont-Ferrand;01/01/2021;11/01/2021 00:00;9;14,301
kVnTNnuYAkUv4o9W5nnAbd;3nEPuCWc9cUcPerm6aiJcN;1,7734;Caen;Cergy;01/01/2021;11/01/2021 00:00;37;65,6158
DNR3xN44cNwdcu4fJTycDz;YUTZ5KEq8mm7HFJGZqxCxu;0,8208;Noisy-le-Grand;Cergy;01/01/2021;10/01/2021 00:00;14;11,4912
hXUbyYvPPxuGx3DaxedD7t;UPowTjKefgdmoKF4uF23CS;0,002;Saint-Maur-des-Fossés;Cergy;01/01/2021;03/01/2021 00:00;15;0,03
